date,group,title,id,percent,target_date
2026-04-01,User Interfaces,Franchisee Portal,franchisee-portal,0,
2026-04-01,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,0,
2026-04-01,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,0,
2026-04-01,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
2026-04-01,User Interfaces,POS website POSHelpNOW.com,pos-website,0,
2026-04-01,Custom Apps,Manual Sales,manual-sales,0,
2026-04-01,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,0,
2026-04-01,Custom Apps,Marketing Portal,marketing-portal,0,
2026-04-01,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,0,
2026-04-01,Custom Apps,Store Locator,store-locator,0,
2026-04-01,Reporting,Franchisee Reporting,franchisee-reporting,0,
2026-04-01,Reporting,Internal Reporting,internal-reporting,0,
2026-04-01,Reporting,AD Portal functions replacement,ad-portal-functions-replacement,0,
2026-04-01,Reporting,Vendor Portal functions replacement,vendor-portal-functions-replacement,0,
2026-04-01,Reporting,Automated Reports,marketing-automated-reports,0,
2026-04-01,Data Integration,Dynamics CRM Data feed,dynamics-crm-data-feed,0,
2026-04-01,Data Integration,Raw Sales (automated POS Sales),raw-sales,10,
2026-04-01,Data Integration,Data Delivers (Focus extract),data-delivers-focus,0,
2026-04-01,Data Integration,Data Delivers (NCR Silver),data-delivers-ncr-silver,0,
2026-04-01,Data Integration,Marketing Yext Extract,yext-extract,0,
2026-04-01,CRM Processes,Store Notifications,store-notifications,0,
2026-04-01,CRM Processes,Call Logs,call-logs,0,
2026-04-01,CRM Processes,Credit/Gift cards verification,credit-gift-cards-verification,0,
2026-04-01,CRM Processes,Training Status Updates,training-status-updates,0,
2026-04-01,CRM Processes,Distribution Center Updates,distribution-center-updates,0,
2026-04-01,CRM Processes,Coop Updates,coop-updates,0,
2026-04-01,CRM Processes,Franchisee review processes,franchisee-review-processes,0,
2026-04-01,CRM Processes,FDD processes,fdd-processes,0,
2026-04-01,CRM Processes,POS team tracks POS Type in Raw Sales tool,pos-team-tracks-pos-type,0,
2026-04-01,CRM Processes,POS Fees tracking,pos-fees-tracking,0,
2026-04-08,User Interfaces,Franchisee Portal,franchisee-portal,0,
2026-04-08,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,0,
2026-04-08,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,0,
2026-04-08,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
2026-04-08,User Interfaces,POS website POSHelpNOW.com,pos-website,0,
2026-04-08,Custom Apps,Manual Sales,manual-sales,0,
2026-04-08,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,0,
2026-04-08,Custom Apps,Marketing Portal,marketing-portal,0,
2026-04-08,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,0,
2026-04-08,Custom Apps,Store Locator,store-locator,0,
2026-04-08,Reporting,Franchisee Reporting,franchisee-reporting,0,
2026-04-08,Reporting,Internal Reporting,internal-reporting,0,
2026-04-08,Reporting,AD Portal functions replacement,ad-portal-functions-replacement,0,
2026-04-08,Reporting,Vendor Portal functions replacement,vendor-portal-functions-replacement,0,
2026-04-08,Reporting,Automated Reports,marketing-automated-reports,0,
2026-04-08,Data Integration,Dynamics CRM Data feed,dynamics-crm-data-feed,0,
2026-04-08,Data Integration,Raw Sales (automated POS Sales),raw-sales,0,
2026-04-08,Data Integration,Data Delivers (Focus extract),data-delivers-focus,0,
2026-04-08,Data Integration,Data Delivers (NCR Silver),data-delivers-ncr-silver,0,
2026-04-08,Data Integration,Marketing Yext Extract,yext-extract,0,
2026-04-08,CRM Processes,Store Notifications,store-notifications,0,
2026-04-08,CRM Processes,Call Logs,call-logs,0,
2026-04-08,CRM Processes,Credit/Gift cards verification,credit-gift-cards-verification,0,
2026-04-08,CRM Processes,Training Status Updates,training-status-updates,0,
2026-04-08,CRM Processes,Distribution Center Updates,distribution-center-updates,0,
2026-04-08,CRM Processes,Coop Updates,coop-updates,0,
2026-04-08,CRM Processes,Franchisee review processes,franchisee-review-processes,0,
2026-04-08,CRM Processes,FDD processes,fdd-processes,0,
2026-04-08,CRM Processes,POS team tracks POS Type in Raw Sales tool,pos-team-tracks-pos-type,0,
2026-04-08,CRM Processes,POS Fees tracking,pos-fees-tracking,0,
2026-04-15,User Interfaces,Franchisee Portal,franchisee-portal,0,
2026-04-15,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,0,
2026-04-15,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,0,
2026-04-15,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
2026-04-15,User Interfaces,POS website POSHelpNOW.com,pos-website,0,
2026-04-15,Custom Apps,Manual Sales,manual-sales,0,
2026-04-15,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,0,
2026-04-15,Custom Apps,Marketing Portal,marketing-portal,0,
2026-04-15,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,0,
2026-04-15,Custom Apps,Store Locator,store-locator,0,
2026-04-15,Reporting,Franchisee Reporting,franchisee-reporting,0,
2026-04-15,Reporting,Internal Reporting,internal-reporting,0,
2026-04-15,Reporting,AD Portal functions replacement,ad-portal-functions-replacement,0,
2026-04-15,Reporting,Vendor Portal functions replacement,vendor-portal-functions-replacement,0,
2026-04-15,Reporting,Automated Reports,marketing-automated-reports,0,
2026-04-15,Data Integration,Dynamics CRM Data feed,dynamics-crm-data-feed,0,
2026-04-15,Data Integration,Raw Sales (automated POS Sales),raw-sales,0,
2026-04-15,Data Integration,Data Delivers (Focus extract),data-delivers-focus,0,
2026-04-15,Data Integration,Data Delivers (NCR Silver),data-delivers-ncr-silver,0,
2026-04-15,Data Integration,Marketing Yext Extract,yext-extract,0,
2026-04-15,CRM Processes,Store Notifications,store-notifications,0,
2026-04-15,CRM Processes,Call Logs,call-logs,0,
2026-04-15,CRM Processes,Credit/Gift cards verification,credit-gift-cards-verification,0,
2026-04-15,CRM Processes,Training Status Updates,training-status-updates,0,
2026-04-15,CRM Processes,Distribution Center Updates,distribution-center-updates,0,
2026-04-15,CRM Processes,Coop Updates,coop-updates,0,
2026-04-15,CRM Processes,Franchisee review processes,franchisee-review-processes,0,
2026-04-15,CRM Processes,FDD processes,fdd-processes,0,
2026-04-15,CRM Processes,POS team tracks POS Type in Raw Sales tool,pos-team-tracks-pos-type,0,
2026-04-15,CRM Processes,POS Fees tracking,pos-fees-tracking,0,
2026-04-22,User Interfaces,Franchisee Portal,franchisee-portal,0,
2026-04-22,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,0,
2026-04-22,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,0,
2026-04-22,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
2026-04-22,User Interfaces,POS website POSHelpNOW.com,pos-website,0,
2026-04-22,Custom Apps,Manual Sales,manual-sales,0,
2026-04-22,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,0,
2026-04-22,Custom Apps,Marketing Portal,marketing-portal,0,
2026-04-22,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,0,
2026-04-22,Custom Apps,Store Locator,store-locator,0,
2026-04-22,Reporting,Franchisee Reporting,franchisee-reporting,0,
2026-04-22,Reporting,Internal Reporting,internal-reporting,0,
2026-04-22,Reporting,AD Portal functions replacement,ad-portal-functions-replacement,0,
2026-04-22,Reporting,Vendor Portal functions replacement,vendor-portal-functions-replacement,0,
2026-04-22,Reporting,Automated Reports,marketing-automated-reports,0,
2026-04-22,Data Integration,Dynamics CRM Data feed,dynamics-crm-data-feed,0,
2026-04-22,Data Integration,Raw Sales (automated POS Sales),raw-sales,0,
2026-04-22,Data Integration,Data Delivers (Focus extract),data-delivers-focus,0,
2026-04-22,Data Integration,Data Delivers (NCR Silver),data-delivers-ncr-silver,0,
2026-04-22,Data Integration,Marketing Yext Extract,yext-extract,0,
2026-04-22,CRM Processes,Store Notifications,store-notifications,0,
2026-04-22,CRM Processes,Call Logs,call-logs,0,
2026-04-22,CRM Processes,Credit/Gift cards verification,credit-gift-cards-verification,0,
2026-04-22,CRM Processes,Training Status Updates,training-status-updates,0,
2026-04-22,CRM Processes,Distribution Center Updates,distribution-center-updates,0,
2026-04-22,CRM Processes,Coop Updates,coop-updates,0,
2026-04-22,CRM Processes,Franchisee review processes,franchisee-review-processes,0,
2026-04-22,CRM Processes,FDD processes,fdd-processes,0,
2026-04-22,CRM Processes,POS team tracks POS Type in Raw Sales tool,pos-team-tracks-pos-type,0,
2026-04-22,CRM Processes,POS Fees tracking,pos-fees-tracking,0,
2026-04-29,User Interfaces,Franchisee Portal,franchisee-portal,0,
2026-04-29,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,0,
2026-04-29,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,0,
2026-04-29,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
2026-04-29,User Interfaces,POS website POSHelpNOW.com,pos-website,0,
2026-04-29,Custom Apps,Manual Sales,manual-sales,0,
2026-04-29,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,0,
2026-04-29,Custom Apps,Marketing Portal,marketing-portal,0,
2026-04-29,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,0,
2026-04-29,Custom Apps,Store Locator,store-locator,0,
2026-04-29,Reporting,Franchisee Reporting,franchisee-reporting,0,
2026-04-29,Reporting,Internal Reporting,internal-reporting,0,
2026-04-29,Reporting,AD Portal functions replacement,ad-portal-functions-replacement,0,
2026-04-29,Reporting,Vendor Portal functions replacement,vendor-portal-functions-replacement,0,
2026-04-29,Reporting,Automated Reports,marketing-automated-reports,0,
2026-04-29,Data Integration,Dynamics CRM Data feed,dynamics-crm-data-feed,0,
2026-04-29,Data Integration,Raw Sales (automated POS Sales),raw-sales,0,
2026-04-29,Data Integration,Data Delivers (Focus extract),data-delivers-focus,0,
2026-04-29,Data Integration,Data Delivers (NCR Silver),data-delivers-ncr-silver,0,
2026-04-29,Data Integration,Marketing Yext Extract,yext-extract,0,
2026-04-29,CRM Processes,Store Notifications,store-notifications,0,
2026-04-29,CRM Processes,Call Logs,call-logs,0,
2026-04-29,CRM Processes,Credit/Gift cards verification,credit-gift-cards-verification,0,
2026-04-29,CRM Processes,Training Status Updates,training-status-updates,0,
2026-04-29,CRM Processes,Distribution Center Updates,distribution-center-updates,0,
2026-04-29,CRM Processes,Coop Updates,coop-updates,0,
2026-04-29,CRM Processes,Franchisee review processes,franchisee-review-processes,0,
2026-04-29,CRM Processes,FDD processes,fdd-processes,0,
2026-04-29,CRM Processes,POS team tracks POS Type in Raw Sales tool,pos-team-tracks-pos-type,0,
