date,group,title,id,percent,target_date,target_start_date,target_completion_date,phase,effort,impact,priority_total
6/3/2026,Data Integration,Innovation team integration,innovation-team-integration,40,9/25/2026,8/3/2026,9/25/2026,2,2,2.5,4.5
6/10/2026,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,10/16/2026,8/3/2026,10/16/2026,3,2.5,2.5,5
6/10/2026,Access & Reporting,Leadership Reporting,leadership-reporting,25,10/16/2026,8/3/2026,10/16/2026,3,3,3,6
6/10/2026,Access & Reporting,Sales Reporting,sales-reporting,25,9/4/2026,8/3/2026,9/4/2026,3,3,3,6
6/10/2026,CRM Processes,FDD processes,fdd-processes,95,6/26/2026,6/15/2026,6/26/2026,5,3,2.5,5.5
6/10/2026,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,50,8/7/2026,6/15/2026,8/7/2026,3,2,3,5
6/10/2026,Data Integration,Attachments,attachments,95,,,,5,3,1,4
6/10/2026,Data Integration,Direct data connections,direct-data-connections,70,9/4/2026,8/3/2026,9/4/2026,5,1.5,1.5,3
6/10/2026,Data Integration,Finance integration,finance-integration,40,9/4/2026,8/3/2026,9/4/2026,2,2,2.5,4.5
6/10/2026,Data Integration,Innovation team integration,innovation-team-integration,40,9/25/2026,8/3/2026,9/25/2026,2,2,2.5,4.5
6/17/2026,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,10/16/2026,8/3/2026,10/16/2026,3,2.5,2.5,5
6/17/2026,Access & Reporting,Leadership Reporting,leadership-reporting,25,10/16/2026,8/3/2026,10/16/2026,3,3,3,6
6/17/2026,Access & Reporting,Sales Reporting,sales-reporting,25,9/4/2026,8/3/2026,9/4/2026,3,3,3,6
6/17/2026,CRM Processes,FDD processes,fdd-processes,99,6/26/2026,6/15/2026,6/26/2026,5,3,2.5,5.5
6/17/2026,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,55,8/7/2026,6/15/2026,8/7/2026,3,2,3,5
6/17/2026,Data Integration,Attachments,attachments,95,,,,5,3,1,4
6/17/2026,Data Integration,Direct data connections,direct-data-connections,70,9/4/2026,8/3/2026,9/4/2026,5,1.5,1.5,3
6/17/2026,Data Integration,Finance integration,finance-integration,40,9/4/2026,8/3/2026,9/4/2026,2,2,2.5,4.5
6/17/2026,Data Integration,Innovation team integration,innovation-team-integration,40,9/25/2026,8/3/2026,9/25/2026,2,2,2.5,4.5
6/24/2026,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,10/16/2026,8/3/2026,10/16/2026,3,2.5,2.5,5
6/24/2026,Access & Reporting,Leadership Reporting,leadership-reporting,25,10/16/2026,8/3/2026,10/16/2026,3,3,3,6
6/24/2026,Access & Reporting,Sales Reporting,sales-reporting,25,9/4/2026,8/3/2026,9/4/2026,3,3,3,6
6/24/2026,CRM Processes,FDD processes,fdd-processes,99,6/26/2026,6/15/2026,6/26/2026,5,3,2.5,5.5
6/24/2026,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,60,8/7/2026,6/15/2026,8/7/2026,3,2,3,5
6/24/2026,Data Integration,Attachments,attachments,95,,,,5,3,1,4
6/24/2026,Data Integration,Direct data connections,direct-data-connections,70,9/4/2026,8/3/2026,9/4/2026,5,1.5,1.5,3
6/24/2026,Data Integration,Finance integration,finance-integration,40,9/4/2026,8/3/2026,9/4/2026,3,2,2.5,4.5
6/24/2026,Data Integration,Innovation team integration,innovation-team-integration,40,9/25/2026,8/3/2026,9/25/2026,3,2,2.5,4.5
7/1/2026,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,30,10/16/2026,8/3/2026,10/16/2026,3,2.5,2.5,5
7/1/2026,Access & Reporting,Leadership Reporting,leadership-reporting,30,10/16/2026,8/3/2026,10/16/2026,3,3,3,6
7/1/2026,Access & Reporting,Sales Reporting,sales-reporting,30,9/4/2026,8/3/2026,9/4/2026,3,3,3,6
